aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
7335.948638976218,0,0,0,0,0,0
7156.415245315341,0,0,0,0,1,0
6804.6473364620815,0,0,0,1,0,0
6549.0361126345815,0,0,0,1,1,0
7050.213598490067,0,0,1,0,0,0
6876.37594519475,0,0,1,0,1,0
6736.688420098524,0,0,1,1,0,0
6550.6862934740875,0,0,1,1,1,0
7202.965222381372,0,1,0,0,0,0
7102.8531643058395,0,1,0,0,1,0
6806.625206971633,0,1,0,1,0,0
6547.8667832453975,0,1,0,1,1,0
7040.541391840123,0,1,1,0,0,0
6871.735931857977,0,1,1,0,1,0
6737.817943911152,0,1,1,1,0,0
6549.774979870587,0,1,1,1,1,0
7182.923970782514,0,2,0,0,0,0
7101.635216446928,0,2,0,0,1,0
6781.78016524112,0,2,0,1,0,0
6535.493896043664,0,2,0,1,1,0
7039.377469796531,0,2,1,0,0,0
6863.056362217618,0,2,1,0,1,0
6714.532476615761,0,2,1,1,0,0
6537.18705350654,0,2,1,1,1,0
7180.387188837964,0,3,0,0,0,0
7098.73910375753,0,3,0,0,1,0
6770.523822000781,0,3,0,1,0,0
6523.343087989878,0,3,0,1,1,0
7030.037034983357,0,3,1,0,0,0
6851.007908298955,0,3,1,0,1,0
6701.5579884826175,0,3,1,1,0,0
6525.103646560783,0,3,1,1,1,0
7181.636900435303,0,4,0,0,0,0
7099.922501136654,0,4,0,0,1,0
6772.3813493709185,0,4,0,1,0,0
6524.622712223884,0,4,0,1,1,0
7030.219639041328,0,4,1,0,0,0
6987.226147373441,0,4,1,0,1,0
6703.46673277719,0,4,1,1,0,0
6526.416230133851,0,4,1,1,1,0
7182.69631325599,0,5,0,0,0,0
7089.789321019274,0,5,0,0,1,0
6774.311115817599,0,5,0,1,0,0
6526.337824393546,0,5,0,1,1,0
7029.411869067235,0,5,1,0,0,0
1000000.0,0,5,1,0,1,1
6705.460587315504,0,5,1,1,0,0
1000000.0,0,5,1,1,1,1
1000000.0,0,6,0,0,0,1
7055.42303181643,0,6,0,0,1,0
6761.542384583339,0,6,0,1,0,0
1000000.0,0,6,0,1,1,1
6998.42752887478,0,6,1,0,0,0
6948.06673586477,0,6,1,0,1,0
6687.397301053486,0,6,1,1,0,0
6512.274520177385,0,6,1,1,1,0
7102.8218603063515,0,7,0,0,0,0
7031.148288972307,0,7,0,0,1,0
6763.442533875843,0,7,0,1,0,0
1000000.0,0,7,0,1,1,1
6990.700710399788,0,7,1,0,0,0
6937.301504727422,0,7,1,0,1,0
6689.384501732845,0,7,1,1,0,0
1000000.0,0,7,1,1,1,1
1000000.0,0,8,0,0,0,1
1000000.0,0,8,0,0,1,1
6764.099396460648,0,8,0,1,0,0
1000000.0,0,8,0,1,1,1
1000000.0,0,8,1,0,0,1
1000000.0,0,8,1,0,1,1
6690.278714608659,0,8,1,1,0,0
1000000.0,0,8,1,1,1,1
1000000.0,0,9,0,0,0,1
1000000.0,0,9,0,0,1,1
1000000.0,0,9,0,1,0,1
1000000.0,0,9,0,1,1,1
1000000.0,0,9,1,0,0,1
1000000.0,0,9,1,0,1,1
6688.60037230377,0,9,1,1,0,0
1000000.0,0,9,1,1,1,1
7089.872710190153,0,10,0,0,0,0
7027.031311544263,0,10,0,0,1,0
6760.225766848802,0,10,0,1,0,0
1000000.0,0,10,0,1,1,1
6987.387652832739,0,10,1,0,0,0
6980.072176251411,0,10,1,0,1,0
6690.52868080609,0,10,1,1,0,0
1000000.0,0,10,1,1,1,1
7087.398932585726,0,11,0,0,0,0
7028.577628820005,0,11,0,0,1,0
6761.801424289178,0,11,0,1,0,0
1000000.0,0,11,0,1,1,1
6989.385943875253,0,11,1,0,0,0
7017.988291175056,0,11,1,0,1,0
6692.621218162336,0,11,1,1,0,0
1000000.0,0,11,1,1,1,1
7201.578302554197,1,0,0,0,0,0
7105.094109487311,1,0,0,0,1,0
6806.629260433401,1,0,0,1,0,0
6548.966862598103,1,0,0,1,1,0
7043.594599813258,1,0,1,0,0,0
6873.7053373318595,1,0,1,0,1,0
6738.202434040423,1,0,1,1,0,0
6550.806558836512,1,0,1,1,1,0
7190.69479076027,1,1,0,0,0,0
7102.849420233695,1,1,0,0,1,0
6766.707296854279,1,1,0,1,0,0
6526.294352247309,1,1,0,1,1,0
7041.442749653734,1,1,1,0,0,0
6961.441780519809,1,1,1,0,1,0
6705.148451961513,1,1,1,1,0,0
6527.577428450493,1,1,1,1,1,0
7181.861338212597,1,2,0,0,0,0
7101.50429309156,1,2,0,0,1,0
6763.022987280423,1,2,0,1,0,0
1000000.0,1,2,0,1,1,1
6996.199584789413,1,2,1,0,0,0
1000000.0,1,2,1,0,1,1
6697.221072095657,1,2,1,1,0,0
6517.93571387235,1,2,1,1,1,0
1000000.0,1,3,0,0,0,1
1000000.0,1,3,0,0,1,1
6760.233946985187,1,3,0,1,0,0
1000000.0,1,3,0,1,1,1
1000000.0,1,3,1,0,0,1
1000000.0,1,3,1,0,1,1
1000000.0,1,3,1,1,0,1
1000000.0,1,3,1,1,1,1
7127.844921468617,1,4,0,0,0,0
7050.365455225616,1,4,0,0,1,0
6763.375684806463,1,4,0,1,0,0
6527.349409811532,1,4,0,1,1,0
6998.50847573122,1,4,1,0,0,0
1000000.0,1,4,1,0,1,1
6697.299453302203,1,4,1,1,0,0
6529.1401800475205,1,4,1,1,1,0
7128.627034815673,1,5,0,0,0,0
7049.955204187196,1,5,0,0,1,0
6764.954213703379,1,5,0,1,0,0
6528.617415269919,1,5,0,1,1,0
6997.781375820852,1,5,1,0,0,0
6951.5737073648215,1,5,1,0,1,0
1000000.0,1,5,1,1,0,1
6530.416987815233,1,5,1,1,1,0
7100.304485854834,1,6,0,0,0,0
7027.81518906636,1,6,0,0,1,0
6763.387804876495,1,6,0,1,0,0
1000000.0,1,6,0,1,1,1
6985.054361549309,1,6,1,0,0,0
6913.061102376392,1,6,1,0,1,0
1000000.0,1,6,1,1,0,1
1000000.0,1,6,1,1,1,1
7095.039262041939,1,7,0,0,0,0
1000000.0,1,7,0,0,1,1
6765.373839319647,1,7,0,1,0,0
1000000.0,1,7,0,1,1,1
6986.472744593422,1,7,1,0,0,0
6912.39850231028,1,7,1,0,1,0
1000000.0,1,7,1,1,0,1
1000000.0,1,7,1,1,1,1
1000000.0,1,8,0,0,0,1
1000000.0,1,8,0,0,1,1
6754.6819717104945,1,8,0,1,0,0
1000000.0,1,8,0,1,1,1
1000000.0,1,8,1,0,0,1
1000000.0,1,8,1,0,1,1
1000000.0,1,8,1,1,0,1
1000000.0,1,8,1,1,1,1
1000000.0,1,9,0,0,0,1
1000000.0,1,9,0,0,1,1
1000000.0,1,9,0,1,0,1
1000000.0,1,9,0,1,1,1
1000000.0,1,9,1,0,0,1
1000000.0,1,9,1,0,1,1
1000000.0,1,9,1,1,0,1
1000000.0,1,9,1,1,1,1
1000000.0,1,10,0,0,0,1
1000000.0,1,10,0,0,1,1
1000000.0,1,10,0,1,0,1
1000000.0,1,10,0,1,1,1
1000000.0,1,10,1,0,0,1
1000000.0,1,10,1,0,1,1
6692.489434282963,1,10,1,1,0,0
6516.525435236313,1,10,1,1,1,0
1000000.0,1,11,0,0,0,1
1000000.0,1,11,0,0,1,1
1000000.0,1,11,0,1,0,1
6515.007060922107,1,11,0,1,1,0
1000000.0,1,11,1,0,0,1
1000000.0,1,11,1,0,1,1
1000000.0,1,11,1,1,0,1
1000000.0,1,11,1,1,1,1
7186.385080255584,2,0,0,0,0,0
7101.063704642202,2,0,0,0,1,0
6785.563281033829,2,0,0,1,0,0
6533.199955016272,2,0,0,1,1,0
7036.103665902228,2,0,1,0,0,0
1000000.0,2,0,1,0,1,1
6714.280796448029,2,0,1,1,0,0
6535.058974895726,2,0,1,1,1,0
7122.661973021718,2,1,0,0,0,0
7043.928910734021,2,1,0,0,1,0
6764.542999554913,2,1,0,1,0,0
6518.560506444658,2,1,0,1,1,0
6996.143648375697,2,1,1,0,0,0
1000000.0,2,1,1,0,1,1
6700.048316304297,2,1,1,1,0,0
6520.341216174089,2,1,1,1,1,0
7181.084152382182,2,2,0,0,0,0
7098.8240125286775,2,2,0,0,1,0
6763.555912002013,2,2,0,1,0,0
6526.411295141694,2,2,0,1,1,0
1000000.0,2,2,1,0,0,1
1000000.0,2,2,1,0,1,1
6697.657609458311,2,2,1,1,0,0
6519.14179569313,2,2,1,1,1,0
7118.556733402613,2,3,0,0,0,0
7041.373620233165,2,3,0,0,1,0
6757.5643145707,2,3,0,1,0,0
6520.093345083613,2,3,0,1,1,0
1000000.0,2,3,1,0,0,1
6927.852082526033,2,3,1,0,1,0
6694.809123255665,2,3,1,1,0,0
6521.986839617193,2,3,1,1,1,0
1000000.0,2,4,0,0,0,1
7042.499163290288,2,4,0,0,1,0
1000000.0,2,4,0,1,0,1
1000000.0,2,4,0,1,1,1
1000000.0,2,4,1,0,0,1
6940.067971640068,2,4,1,0,1,0
6696.189245148153,2,4,1,1,0,0
1000000.0,2,4,1,1,1,1
1000000.0,2,5,0,0,0,1
7032.896900960709,2,5,0,0,1,0
1000000.0,2,5,0,1,0,1
1000000.0,2,5,0,1,1,1
1000000.0,2,5,1,0,0,1
6934.334877881891,2,5,1,0,1,0
1000000.0,2,5,1,1,0,1
1000000.0,2,5,1,1,1,1
1000000.0,2,6,0,0,0,1
1000000.0,2,6,0,0,1,1
1000000.0,2,6,0,1,0,1
1000000.0,2,6,0,1,1,1
6986.326407352821,2,6,1,0,0,0
1000000.0,2,6,1,0,1,1
6686.4787924655175,2,6,1,1,0,0
1000000.0,2,6,1,1,1,1
1000000.0,2,7,0,0,0,1
1000000.0,2,7,0,0,1,1
1000000.0,2,7,0,1,0,1
1000000.0,2,7,0,1,1,1
1000000.0,2,7,1,0,0,1
1000000.0,2,7,1,0,1,1
1000000.0,2,7,1,1,0,1
1000000.0,2,7,1,1,1,1
1000000.0,2,8,0,0,0,1
1000000.0,2,8,0,0,1,1
1000000.0,2,8,0,1,0,1
1000000.0,2,8,0,1,1,1
1000000.0,2,8,1,0,0,1
1000000.0,2,8,1,0,1,1
1000000.0,2,8,1,1,0,1
1000000.0,2,8,1,1,1,1
1000000.0,2,9,0,0,0,1
1000000.0,2,9,0,0,1,1
1000000.0,2,9,0,1,0,1
1000000.0,2,9,0,1,1,1
1000000.0,2,9,1,0,0,1
1000000.0,2,9,1,0,1,1
1000000.0,2,9,1,1,0,1
1000000.0,2,9,1,1,1,1
1000000.0,2,10,0,0,0,1
1000000.0,2,10,0,0,1,1
1000000.0,2,10,0,1,0,1
1000000.0,2,10,0,1,1,1
1000000.0,2,10,1,0,0,1
1000000.0,2,10,1,0,1,1
1000000.0,2,10,1,1,0,1
1000000.0,2,10,1,1,1,1
1000000.0,2,11,0,0,0,1
1000000.0,2,11,0,0,1,1
1000000.0,2,11,0,1,0,1
1000000.0,2,11,0,1,1,1
1000000.0,2,11,1,0,0,1
1000000.0,2,11,1,0,1,1
1000000.0,2,11,1,1,0,1
1000000.0,2,11,1,1,1,1
7187.539374683338,3,0,0,0,0,0
7101.583054178803,3,0,0,0,1,0
6778.508588381879,3,0,0,1,0,0
6529.529225186057,3,0,0,1,1,0
7035.297476432521,3,0,1,0,0,0
6858.481160277279,3,0,1,0,1,0
6708.789845742019,3,0,1,1,0,0
6531.305447485271,3,0,1,1,1,0
7187.589330450962,3,1,0,0,0,0
7102.852586606212,3,1,0,0,1,0
6758.136118225395,3,1,0,1,0,0
6537.193053358877,3,1,0,1,1,0
7036.84821995813,3,1,1,0,0,0
1000000.0,3,1,1,0,1,1
6710.63130199369,3,1,1,1,0,0
6539.0545751037935,3,1,1,1,1,0
1000000.0,3,2,0,0,0,1
1000000.0,3,2,0,0,1,1
1000000.0,3,2,0,1,0,1
1000000.0,3,2,0,1,1,1
1000000.0,3,2,1,0,0,1
1000000.0,3,2,1,0,1,1
1000000.0,3,2,1,1,0,1
1000000.0,3,2,1,1,1,1
1000000.0,3,3,0,0,0,1
1000000.0,3,3,0,0,1,1
1000000.0,3,3,0,1,0,1
1000000.0,3,3,0,1,1,1
1000000.0,3,3,1,0,0,1
1000000.0,3,3,1,0,1,1
1000000.0,3,3,1,1,0,1
1000000.0,3,3,1,1,1,1
1000000.0,3,4,0,0,0,1
1000000.0,3,4,0,0,1,1
1000000.0,3,4,0,1,0,1
1000000.0,3,4,0,1,1,1
1000000.0,3,4,1,0,0,1
6942.265787443514,3,4,1,0,1,0
1000000.0,3,4,1,1,0,1
1000000.0,3,4,1,1,1,1
1000000.0,3,5,0,0,0,1
1000000.0,3,5,0,0,1,1
1000000.0,3,5,0,1,0,1
1000000.0,3,5,0,1,1,1
1000000.0,3,5,1,0,0,1
1000000.0,3,5,1,0,1,1
1000000.0,3,5,1,1,0,1
1000000.0,3,5,1,1,1,1
1000000.0,3,6,0,0,0,1
1000000.0,3,6,0,0,1,1
1000000.0,3,6,0,1,0,1
1000000.0,3,6,0,1,1,1
1000000.0,3,6,1,0,0,1
1000000.0,3,6,1,0,1,1
1000000.0,3,6,1,1,0,1
1000000.0,3,6,1,1,1,1
1000000.0,3,7,0,0,0,1
1000000.0,3,7,0,0,1,1
1000000.0,3,7,0,1,0,1
1000000.0,3,7,0,1,1,1
1000000.0,3,7,1,0,0,1
1000000.0,3,7,1,0,1,1
1000000.0,3,7,1,1,0,1
1000000.0,3,7,1,1,1,1
1000000.0,3,8,0,0,0,1
1000000.0,3,8,0,0,1,1
1000000.0,3,8,0,1,0,1
1000000.0,3,8,0,1,1,1
1000000.0,3,8,1,0,0,1
1000000.0,3,8,1,0,1,1
1000000.0,3,8,1,1,0,1
1000000.0,3,8,1,1,1,1
1000000.0,3,9,0,0,0,1
1000000.0,3,9,0,0,1,1
1000000.0,3,9,0,1,0,1
1000000.0,3,9,0,1,1,1
1000000.0,3,9,1,0,0,1
1000000.0,3,9,1,0,1,1
1000000.0,3,9,1,1,0,1
1000000.0,3,9,1,1,1,1
1000000.0,3,10,0,0,0,1
1000000.0,3,10,0,0,1,1
1000000.0,3,10,0,1,0,1
1000000.0,3,10,0,1,1,1
1000000.0,3,10,1,0,0,1
1000000.0,3,10,1,0,1,1
1000000.0,3,10,1,1,0,1
1000000.0,3,10,1,1,1,1
1000000.0,3,11,0,0,0,1
1000000.0,3,11,0,0,1,1
1000000.0,3,11,0,1,0,1
1000000.0,3,11,0,1,1,1
1000000.0,3,11,1,0,0,1
1000000.0,3,11,1,0,1,1
1000000.0,3,11,1,1,0,1
1000000.0,3,11,1,1,1,1
7188.907741135901,4,0,0,0,0,0
7103.371758530046,4,0,0,0,1,0
6780.401439148352,4,0,0,1,0,0
6531.438838358541,4,0,0,1,1,0
7037.039823516241,4,0,1,0,0,0
1000000.0,4,0,1,0,1,1
6710.718027534105,4,0,1,1,0,0
6533.227668777337,4,0,1,1,1,0
7188.434056009592,4,1,0,0,0,0
7104.671982595621,4,1,0,0,1,0
6757.820177980861,4,1,0,1,0,0
1000000.0,4,1,0,1,1,1
7038.533910839433,4,1,1,0,0,0
6964.015972932533,4,1,1,0,1,0
6706.3190906647205,4,1,1,1,0,0
1000000.0,4,1,1,1,1,1
1000000.0,4,2,0,0,0,1
1000000.0,4,2,0,0,1,1
1000000.0,4,2,0,1,0,1
1000000.0,4,2,0,1,1,1
1000000.0,4,2,1,0,0,1
1000000.0,4,2,1,0,1,1
1000000.0,4,2,1,1,0,1
1000000.0,4,2,1,1,1,1
1000000.0,4,3,0,0,0,1
1000000.0,4,3,0,0,1,1
1000000.0,4,3,0,1,0,1
1000000.0,4,3,0,1,1,1
1000000.0,4,3,1,0,0,1
1000000.0,4,3,1,0,1,1
1000000.0,4,3,1,1,0,1
1000000.0,4,3,1,1,1,1
1000000.0,4,4,0,0,0,1
1000000.0,4,4,0,0,1,1
1000000.0,4,4,0,1,0,1
1000000.0,4,4,0,1,1,1
1000000.0,4,4,1,0,0,1
1000000.0,4,4,1,0,1,1
1000000.0,4,4,1,1,0,1
1000000.0,4,4,1,1,1,1
1000000.0,4,5,0,0,0,1
1000000.0,4,5,0,0,1,1
1000000.0,4,5,0,1,0,1
1000000.0,4,5,0,1,1,1
1000000.0,4,5,1,0,0,1
1000000.0,4,5,1,0,1,1
1000000.0,4,5,1,1,0,1
1000000.0,4,5,1,1,1,1
1000000.0,4,6,0,0,0,1
1000000.0,4,6,0,0,1,1
1000000.0,4,6,0,1,0,1
1000000.0,4,6,0,1,1,1
1000000.0,4,6,1,0,0,1
1000000.0,4,6,1,0,1,1
1000000.0,4,6,1,1,0,1
1000000.0,4,6,1,1,1,1
1000000.0,4,7,0,0,0,1
1000000.0,4,7,0,0,1,1
1000000.0,4,7,0,1,0,1
1000000.0,4,7,0,1,1,1
1000000.0,4,7,1,0,0,1
1000000.0,4,7,1,0,1,1
1000000.0,4,7,1,1,0,1
1000000.0,4,7,1,1,1,1
1000000.0,4,8,0,0,0,1
1000000.0,4,8,0,0,1,1
1000000.0,4,8,0,1,0,1
1000000.0,4,8,0,1,1,1
1000000.0,4,8,1,0,0,1
1000000.0,4,8,1,0,1,1
1000000.0,4,8,1,1,0,1
1000000.0,4,8,1,1,1,1
1000000.0,4,9,0,0,0,1
1000000.0,4,9,0,0,1,1
1000000.0,4,9,0,1,0,1
1000000.0,4,9,0,1,1,1
1000000.0,4,9,1,0,0,1
1000000.0,4,9,1,0,1,1
1000000.0,4,9,1,1,0,1
1000000.0,4,9,1,1,1,1
1000000.0,4,10,0,0,0,1
1000000.0,4,10,0,0,1,1
1000000.0,4,10,0,1,0,1
1000000.0,4,10,0,1,1,1
1000000.0,4,10,1,0,0,1
1000000.0,4,10,1,0,1,1
1000000.0,4,10,1,1,0,1
1000000.0,4,10,1,1,1,1
1000000.0,4,11,0,0,0,1
1000000.0,4,11,0,0,1,1
1000000.0,4,11,0,1,0,1
1000000.0,4,11,0,1,1,1
1000000.0,4,11,1,0,0,1
1000000.0,4,11,1,0,1,1
1000000.0,4,11,1,1,0,1
1000000.0,4,11,1,1,1,1
7167.969656794982,5,0,0,0,0,0
7095.340050363633,5,0,0,0,1,0
6780.478023200643,5,0,0,1,0,0
6531.830465060016,5,0,0,1,1,0
7035.664674315636,5,0,1,0,0,0
6939.6396137808315,5,0,1,0,1,0
6710.816907467399,5,0,1,1,0,0
6533.621657874676,5,0,1,1,1,0
7100.090879720417,5,1,0,0,0,0
7033.335412859949,5,1,0,0,1,0
6758.726715495674,5,1,0,1,0,0
6514.169607292306,5,1,0,1,1,0
6992.919876299311,5,1,1,0,0,0
1000000.0,5,1,1,0,1,1
6690.665257234352,5,1,1,1,0,0
1000000.0,5,1,1,1,1,1
1000000.0,5,2,0,0,0,1
1000000.0,5,2,0,0,1,1
1000000.0,5,2,0,1,0,1
1000000.0,5,2,0,1,1,1
1000000.0,5,2,1,0,0,1
1000000.0,5,2,1,0,1,1
1000000.0,5,2,1,1,0,1
1000000.0,5,2,1,1,1,1
1000000.0,5,3,0,0,0,1
1000000.0,5,3,0,0,1,1
1000000.0,5,3,0,1,0,1
1000000.0,5,3,0,1,1,1
1000000.0,5,3,1,0,0,1
1000000.0,5,3,1,0,1,1
1000000.0,5,3,1,1,0,1
1000000.0,5,3,1,1,1,1
1000000.0,5,4,0,0,0,1
1000000.0,5,4,0,0,1,1
1000000.0,5,4,0,1,0,1
1000000.0,5,4,0,1,1,1
1000000.0,5,4,1,0,0,1
1000000.0,5,4,1,0,1,1
1000000.0,5,4,1,1,0,1
1000000.0,5,4,1,1,1,1
1000000.0,5,5,0,0,0,1
1000000.0,5,5,0,0,1,1
1000000.0,5,5,0,1,0,1
1000000.0,5,5,0,1,1,1
1000000.0,5,5,1,0,0,1
1000000.0,5,5,1,0,1,1
1000000.0,5,5,1,1,0,1
1000000.0,5,5,1,1,1,1
1000000.0,5,6,0,0,0,1
1000000.0,5,6,0,0,1,1
1000000.0,5,6,0,1,0,1
1000000.0,5,6,0,1,1,1
1000000.0,5,6,1,0,0,1
1000000.0,5,6,1,0,1,1
1000000.0,5,6,1,1,0,1
1000000.0,5,6,1,1,1,1
1000000.0,5,7,0,0,0,1
1000000.0,5,7,0,0,1,1
1000000.0,5,7,0,1,0,1
1000000.0,5,7,0,1,1,1
1000000.0,5,7,1,0,0,1
1000000.0,5,7,1,0,1,1
1000000.0,5,7,1,1,0,1
1000000.0,5,7,1,1,1,1
1000000.0,5,8,0,0,0,1
1000000.0,5,8,0,0,1,1
1000000.0,5,8,0,1,0,1
1000000.0,5,8,0,1,1,1
1000000.0,5,8,1,0,0,1
1000000.0,5,8,1,0,1,1
1000000.0,5,8,1,1,0,1
1000000.0,5,8,1,1,1,1
1000000.0,5,9,0,0,0,1
1000000.0,5,9,0,0,1,1
1000000.0,5,9,0,1,0,1
1000000.0,5,9,0,1,1,1
1000000.0,5,9,1,0,0,1
1000000.0,5,9,1,0,1,1
1000000.0,5,9,1,1,0,1
1000000.0,5,9,1,1,1,1
1000000.0,5,10,0,0,0,1
